FLEX,FLEX-NSGA2,GerryFair,GerryFairGB,LEX,NSGA2,Random
FLEX-NSGA2,2.55715559539743e-16,NA,NA,NA,NA,NA,NA
GerryFair,1.29633148716055e-30,7.44039590837081e-15,NA,NA,NA,NA,NA
GerryFairGB,4.17500859848648e-27,9.10377927489631e-10,0.0313640870971213,NA,NA,NA,NA
LEX,0.145159771744085,1.69839943354681e-20,7.91424544480416e-32,9.47406558610264e-27,NA,NA,NA
NSGA2,1.72758939849615e-09,0.00572580595698676,5.5605062490871e-21,1.87360360791709e-14,2.11697156037372e-13,NA,NA
Random,0.0169202288031892,1.32025704136656e-22,5.87919156273043e-32,3.51313683356697e-27,1,3.71602355164258e-18,NA
Tourn,3.45331658897398e-06,0.00232933196269238,5.21127093133543e-20,7.31343846786479e-16,3.74518262106455e-11,1,2.39688249877184e-12
FLEX,FLEX-NSGA2,GerryFair,GerryFairGB,LEX,NSGA2,Random
FLEX-NSGA2,2.55715559539743e-16,NA,NA,NA,NA,NA,NA
GerryFair,1.29633148716055e-30,7.44039590837081e-15,NA,NA,NA,NA,NA
GerryFairGB,4.17500859848648e-27,9.10377927489631e-10,0.0313640870971213,NA,NA,NA,NA
LEX,0.145159771744085,1.69839943354681e-20,7.91424544480416e-32,9.47406558610264e-27,NA,NA,NA
NSGA2,1.72758939849615e-09,0.00572580595698676,5.5605062490871e-21,1.87360360791709e-14,2.11697156037372e-13,NA,NA
Random,0.0169202288031892,1.32025704136656e-22,5.87919156273043e-32,3.51313683356697e-27,1,3.71602355164258e-18,NA
Tourn,3.45331658897398e-06,0.00232933196269238,5.21127093133543e-20,7.31343846786479e-16,3.74518262106455e-11,1,2.39688249877184e-12
